Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.521739,0.583333,0,0,1,0
1.043478,1.166667,0,0,1,0
1.565217,1.75,0,0,1,0
2.086957,2.333333,0,0,1,0
2.608696,2.916667,0,0,1,0
3.130435,3.5,0,0,1,0
3.652174,3.5,0,-0,0.961143,0.197396
4.173913,4.074025,0.114181,0.392699,0.961143,0.197396
4.695652,4.56066,0.43934,0.785398,0.961143,0.197396
5.217391,4.885819,0.925975,1.178097,0.961143,0.197396
5.73913,5,1.5,1.570796,0.961143,0.197396
6.26087,5,1.5,1.570796,0.961143,0.197396
6.782609,4.885819,2.074025,1.963495,0.961143,0.197396
7.304348,4.56066,2.56066,2.356194,0.961143,0.197396
7.826087,4.074025,2.885819,2.748894,0.961143,0.197396
8.347826,3.5,3,3.141593,0.961143,0.197396
8.869565,3.5,3,3.141593,1,-0
9.391304,2.916667,3,3.141593,1,-0
9.913043,2.333333,3,3.141593,1,-0
10.434783,1.75,3,3.141593,1,-0
10.956522,1.166667,3,3.141593,1,-0
11.478261,0.583333,3,3.141593,1,-0
12,0,3,3.141593,1,-0
